PSI 6.034,3100 64,9900
1,09%
6.035,1700 5.988,8800 12:27 12/01/23
PSI GERAL 4.626,8000 33,5300
0,73%
4.627,1700 4.593,4400 12:27 12/01/23
DAX 15.068,8900 120,9800
0,81%
15.087,1400 14.967,5500 12:27 12/01/23
IBEX-35 8.810,6000 84,3000
0,97%
8.818,4000 8.735,2000 12:26 12/01/23
CAC-40 6.983,6800 59,4900
0,86%
6.993,9700 6.946,3000 12:27 12/01/23
AEX 743,0600 4,2300
0,57%
743,7400 738,2900 12:27 12/01/23
BEL-20 3.918,0100 18,8800
0,48%
3.924,2600 3.897,2100 12:27 12/01/23
EURONEXT 100 1.320,1700 9,8200
0,75%
1.321,6600 1.311,1100 12:27 12/01/23
FTSE LATIBEX 2.363,8000 2,4000
0,10%
2.366,1000 2.359,8000 11:38 12/01/23
SMI 11.246,0100 83,8600
0,75%
11.306,3100 11.124,9200 23:00 10/01/23
TECDAX 3.160,1000 12,8500
0,41%
3.161,7100 3.133,9300 12:27 12/01/23
NIKKEI 225 26.449,8200 3,8200
0,01%
26.547,6100 26.381,9300 23:00 11/01/23
